date,redistribution,extraction,velocity,velocity_smooth,year,month
2022-05-15,14.0,6.666666666666667,-18.10406272273699,-8.62032657292814,2022,5
2022-05-22,11.0,5.666666666666667,-6.428571428571429,-9.313908353466443,2022,5
2022-05-29,9.0,5.333333333333333,-12.299465240641693,-12.27736646398337,2022,5
2022-06-05,10.0,5.333333333333333,11.111111111111116,-2.5389751860339995,2022,6
2022-06-12,8.333333333333334,5.333333333333333,-16.666666666666664,-5.951673598732412,2022,6
2022-06-19,8.333333333333334,5.0,6.25,0.23148148148148628,2022,6
2022-06-26,9.0,5.0,7.999999999999985,-0.8055555555555575,2022,6
2022-07-03,8.666666666666666,5.333333333333333,-10.370370370370374,1.2932098765432063,2022,7
2022-07-10,9.666666666666666,5.0,17.78846153846154,5.139363722697053,2022,7
2022-07-17,10.0,5.0,3.4482758620689724,3.6221223433867156,2022,7
2022-07-24,8.333333333333334,4.666666666666667,-10.0,3.7455791335101742,2022,7
2022-07-31,8.0,4.666666666666667,-4.0000000000000036,-3.5172413793103403,2022,7
2022-08-07,8.333333333333334,4.666666666666667,4.166666666666674,-3.277777777777773,2022,8
2022-08-14,7.666666666666667,5.333333333333333,-22.285714285714285,-7.373015873015867,2022,8
2022-08-21,9.0,6.0,4.891304347826075,-4.4092477570738415,2022,8
2022-08-28,9.666666666666666,7.333333333333333,-14.814814814814815,-10.736408250901006,2022,8
2022-09-04,11.666666666666666,6.333333333333333,34.32601880877743,8.134169447262899,2022,9
2022-09-11,13.0,7.0,0.9022556390977368,6.804486544353452,2022,9
2022-09-18,12.666666666666666,7.0,-2.564102564102566,10.88805729459087,2022,9
2022-09-25,13.333333333333334,7.0,5.2631578947368585,1.2004369899106802,2022,9
2022-10-02,15.0,7.0,12.5,5.0663517768781015,2022,10
2022-10-09,16.333333333333332,6.666666666666667,13.650793650793634,10.471317181843501,2022,10
2022-10-16,16.333333333333332,6.666666666666667,0.0,8.716931216931215,2022,10
2022-10-23,17.666666666666668,6.666666666666667,8.163265306122458,7.271352985638701,2022,10
2022-10-30,15.666666666666666,6.333333333333333,-6.320754716981136,0.6141701963804443,2022,10
2022-11-06,16.333333333333332,6.666666666666667,-1.0078387458006821,0.2782239477802169,2022,11
2022-11-13,17.666666666666668,6.666666666666667,8.163265306122458,0.2782239477802169,2022,11
2022-11-20,12.333333333333334,5.333333333333333,-10.188679245283016,-1.0110842283204098,2022,11
2022-11-27,19.333333333333332,6.333333333333333,38.00675675675673,11.993780939198729,2022,11
2022-12-04,19.666666666666668,7.333333333333333,-14.065335753176033,4.584247252765898,2022,12
2022-12-11,17.0,7.333333333333333,-13.559322033898313,3.460699656560799,2022,12
2022-12-18,9.0,4.666666666666667,-10.695187165775408,-12.773281650949913,2022,12
2022-12-25,6.333333333333333,4.0,-15.343915343915336,-13.199474847863016,2022,12
2023-01-01,8.666666666666666,5.0,11.842105263157897,-4.732332415510945,2023,1
