year,courts_not_harsh_enough_pct,police_violence_ok_pct,death_penalty_favor_pct,marijuana_legal_pct,trust_people_pct,afraid_night_pct,premarital_ok_pct,homosexuality_ok_pct,abortion_any_reason_pct,church_weekly_pct,income_diff_ok_mean,working_lower_class_pct
1988,85.6330014224751,76.24602332979852,76.11070648215586,17.905759162303664,38.888888888888886,40.476190476190474,40.6282722513089,12.8068303094984,36.111111111111114,7.374830852503383,3.6485097636176773,92.34417344173441
1989,87.95345653661876,74.94780793319416,78.29993089149966,16.93386773547094,40.970873786407765,39.727361246348586,40.576725025746654,15.714285714285714,40.343781597573305,6.979778212654925,3.58128078817734,91.11111111111111
1990,86.86635944700461,73.5399284862932,79.40717628705148,16.839677047289506,38.084632516703785,41.3716814159292,39.86562150055991,12.844036697247706,43.443557582668184,6.976744186046512,3.4672789896670495,92.66324284666177
1991,83.93854748603351,68.4265010351967,76.23762376237623,18.724279835390945,38.4995064165844,43.38085539714868,43.80664652567976,15.982721382289418,42.586750788643535,6.166219839142091,3.5055724417426544,92.31278992710405
1993,86.09271523178808,76.69322709163346,77.35215053763442,23.306772908366533,35.836501901140686,43.08411214953271,42.19047619047619,22.035573122529645,45.34653465346535,8.60969387755102,3.6956521739130435,90.23929471032746
1994,89.28823114869627,73.309241094476,79.24865831842575,23.964341898269534,34.13533834586466,47.16885743174924,43.523859465128474,23.301486199575372,46.27714581178904,7.990479428765726,3.9898785425101213,91.69468728984532
1996,83.46339650687477,70.04909983633388,76.82835820895522,26.973684210526315,33.942558746736296,42.24908039936942,43.881856540084385,28.19506726457399,44.97528830313015,7.403471484236627,3.764423076923077,90.22191400832178
1998,79.29598788796366,68.46153846153847,73.33589842247018,29.36241610738255,37.6385336743393,41.70718530524041,43.4589800443459,29.378208784940103,40.94488188976378,7.81922525107604,3.9448903156768327,90.94781682641107
2000,74.78498827208757,66.20727673649394,68.7719298245614,33.53932584269663,35.23150612027674,39.59584926269798,41.796875,28.81555686505598,39.87556561085973,7.124588966021191,3.8280151433207137,91.08098465929362
2002,71.51750972762646,70.55359246171967,68.7308868501529,35.95769682726205,34.065934065934066,32.20892274211099,44.51977401129943,33.0316742081448,43.0,7.765220561429092,3.6966666666666668,90.49180327868852
2004,69.0457097032879,70.48780487804878,68.01909307875896,36.408977556109726,35.885714285714286,31.620111731843576,46.319365798414495,30.76036866359447,40.56271981242673,8.639771510174938,3.744508670520231,90.1750625223294
2006,67.47073430294431,66.23931623931624,66.9626998223801,36.76148796498906,32.44320446392985,36.076266934269945,45.53433144037171,32.704402515723274,40.43321299638989,7.325762636383879,3.6298568507157465,90.37361157859307
2008,67.36222578919208,69.21875,66.40378548895899,39.775461106655975,32.967032967032964,33.58042994810971,53.51894818252127,38.140267927501974,42.3728813559322,8.341608738828203,3.590808005930319,87.64324862979572
2010,67.60788492274907,67.41140215716487,67.51691827173347,47.89515488482923,33.38192419825073,33.07210031347962,52.84900284900285,42.436631234668845,43.65853658536585,6.777996070726916,3.9492273730684326,88.51651059635289
2012,63.47777152504221,68.80375293197811,64.85745614035088,47.487844408427875,32.381667918858,34.23076923076923,56.09561752988048,44.632768361581924,44.39102564102564,7.121057985757884,3.6163141993957706,86.45886561062851
2014,62.78667243617482,66.06587942821628,64.31273644388399,55.27318932655654,30.83778966131907,33.21596244131455,58.00970873786408,49.18231374924288,45.13006654567453,6.930693069306931,3.734889287851586,88.32870186581977
2016,61.85809486475892,68.86993603411514,60.44526901669759,61.09603906673901,32.014388489208635,32.21333333333333,59.41716135995683,52.04872646733112,46.24309392265194,7.368421052631579,3.50051652892562,87.09110094970102
2018,60.94357976653696,63.605671843349086,63.15549475604195,64.82377332411886,31.619537275064268,33.248245054243775,61.67429692609549,56.58862876254181,50.13123359580052,5.5317324185248715,3.5685510071474984,87.39819974282041
2021,,68.46153846153847,56.153651756381095,,,35.032322227747386,65.7089552238806,62.083492914592114,56.40060240963855,4.492680464411913,3.3848177376925968,87.10801393728222
2022,60.62378167641326,65.20994001713797,60.26946107784431,70.16918967052538,25.14379622021364,37.877480586712686,69.14802065404476,61.22721209426412,58.890845070422536,4.217725847819891,3.3470863462356446,84.55400398974066
2024,58.08457711442786,66.3302752293578,60.13546202225447,68.5121107266436,24.89451476793249,34.45793972109762,65.15366430260048,54.72941176470588,59.85981308411215,5.128205128205129,3.3988894030541417,84.42472460220318
