date,autonomy,constraint,velocity,velocity_smooth,year,month
2022-05-22,26.333333333333332,10.333333333333334,-2.9532163742690205,11.593676685209864,2022,5
2022-05-29,22.333333333333332,8.666666666666666,0.9391588403430013,8.426876152137387,2022,5
2022-06-05,23.333333333333332,9.0,0.6314580941446435,-0.46086647992712404,2022,6
2022-06-12,24.333333333333332,8.0,15.39682539682541,5.655814110437686,2022,6
2022-06-19,32.333333333333336,8.0,32.87671232876714,16.30166527324573,2022,6
2022-06-26,24.0,7.333333333333333,-17.439862542955332,10.277891727545741,2022,6
2022-07-03,18.666666666666668,7.666666666666667,-26.767676767676786,-3.776942327288326,2022,7
2022-07-10,21.0,7.666666666666667,12.5,-10.569179770210704,2022,7
2022-07-17,32.666666666666664,7.333333333333333,59.903381642512066,15.211901624945094,2022,7
2022-07-24,28.666666666666668,6.666666666666667,-3.153988868274581,23.08313092474583,2022,7
2022-07-31,30.0,7.333333333333333,-5.348837209302325,17.133518521645055,2022,7
2022-08-07,23.666666666666668,7.333333333333333,-21.111111111111104,-9.871312396229337,2022,8
2022-08-14,26.666666666666668,9.333333333333334,-14.59667093469912,-13.685539751704184,2022,8
2022-08-21,31.666666666666668,10.0,11.607142857142861,-8.033546396222453,2022,8
2022-08-28,32.0,13.666666666666666,-35.6140350877193,-12.867854388425187,2022,8
2022-09-04,33.333333333333336,13.333333333333334,6.605691056910567,-5.800400391221959,2022,9
2022-09-11,33.333333333333336,15.0,-12.5,-13.836114676936246,2022,9
2022-09-18,33.0,15.0,-1.000000000000012,-2.2981029810298153,2022,9
2022-09-25,30.666666666666668,16.333333333333332,-15.959595959595951,-9.819865319865322,2022,9
2022-10-02,31.333333333333332,21.0,-26.397515527950333,-14.452370495848767,2022,10
2022-10-09,31.0,25.0,-20.111448834853086,-20.82285344079979,2022,10
2022-10-16,32.666666666666664,23.333333333333332,12.043010752688177,-11.488651203371747,2022,10
2022-10-23,32.0,22.333333333333332,2.2448979591836777,-1.9411800409937434,2022,10
2022-10-30,30.0,28.333333333333332,-33.11567164179105,-6.275920976639732,2022,10
2022-11-06,29.333333333333332,22.0,20.130718954248362,-3.5800182427863363,2022,11
2022-11-13,32.0,22.666666666666668,6.0606060606060765,-2.3081155423122044,2022,11
2022-11-20,20.666666666666668,31.333333333333332,-73.65196078431373,-15.820211923153096,2022,11
2022-11-27,31.666666666666668,39.333333333333336,27.69389155799586,-13.299154388570598,2022,11
2022-12-04,31.333333333333332,38.333333333333336,1.4897413024085648,-14.82277597463643,2022,12
2022-12-11,35.333333333333336,32.333333333333336,28.418131359852005,19.200588073418814,2022,12
2022-12-18,17.666666666666668,19.0,-8.762886597938135,7.048328688107481,2022,12
2022-12-25,17.333333333333332,15.666666666666666,15.657067196292605,11.770770652735493,2022,12
2023-01-01,18.666666666666668,15.0,11.947626841243874,6.2806024798661175,2023,1
2023-01-08,25.666666666666668,15.333333333333334,35.277777777777764,20.960823938438082,2023,1
2023-01-15,27.333333333333332,15.0,8.667419536984744,18.630941385335465,2023,1
2023-01-22,31.666666666666668,16.333333333333332,6.964769647696501,16.969988987486342,2023,1
2023-01-29,31.666666666666668,18.0,-10.204081632653072,1.8093691840093935,2023,1
2023-02-05,35.0,16.333333333333332,19.785575048732937,5.515421021258791,2023,2
2023-02-12,30.0,16.0,-12.244897959183687,-0.8878015143679386,2023,2
2023-02-19,27.666666666666668,14.333333333333334,2.63888888888889,3.3931886594793816,2023,2
2023-02-26,32.333333333333336,16.0,5.239562902773898,-1.4554820558402979,2023,2
2023-03-05,34.0,16.0,5.154639175257714,4.344363655640169,2023,3
2023-03-12,30.333333333333332,13.333333333333334,5.882352941176462,5.425518339736026,2023,3
2023-03-19,30.0,15.333333333333334,-16.098901098901088,-1.6873029941556357,2023,3
2023-03-26,34.333333333333336,16.0,10.096618357487941,-0.03997660007889318,2023,3
2023-04-02,28.666666666666668,14.0,-4.004854368932044,-3.3357123701150626,2023,4
2023-04-09,32.666666666666664,15.666666666666666,2.0487264673310968,2.713496818628999,2023,4
2023-04-16,34.333333333333336,16.333333333333332,0.846721667390371,-0.36980207807019055,2023,4
2023-04-23,31.333333333333332,16.666666666666668,-10.778680404200546,-2.627744089826358,2023,4
2023-04-30,30.666666666666668,15.666666666666666,3.8723404255319283,-2.0198727704260806,2023,4
2023-05-07,27.666666666666668,14.666666666666666,-3.3996299722479186,-3.4353233169721773,2023,5
2023-05-14,30.333333333333332,12.666666666666666,23.27491785323109,7.915876102171701,2023,5
2023-05-21,37.0,10.666666666666666,37.76749566223252,19.2142611810719,2023,5
2023-05-28,27.0,9.333333333333334,-14.527027027027039,15.505128829478858,2023,5
2023-06-04,28.0,8.666666666666666,10.846560846560848,11.362343160588779,2023,6
2023-06-11,27.666666666666668,8.666666666666666,-1.1904761904761862,-1.62364745698079,2023,6
2023-06-18,22.666666666666668,8.333333333333334,-14.226135310472678,-1.5233502181293364,2023,6
2023-06-25,25.666666666666668,9.0,5.235294117647071,-3.393772461100595,2023,6
2023-07-02,27.0,8.333333333333334,12.602212602212592,1.2037904697956645,2023,7
2023-07-09,20.333333333333332,9.333333333333334,-36.691358024691354,-6.284617101610561,2023,7
2023-07-16,18.666666666666668,9.0,-4.625292740046816,-9.571479387508523,2023,7
2023-07-23,20.0,9.0,7.14285714285714,-11.391264540627008,2023,7
