iso,top10_share,polarization,palma_ratio,n_individuals
SOM,29.823312081325657,100,1.9999993333335555,544576
BEL,22.312232460696073,100,2.499998750000625,1645319
NZL,23.19005475978765,100,1.6666661111112961,908696
DZA,28.91299411710186,100,1.9999993333335555,3333901
VNM,22.234939129243557,100,2.499998750000625,13869550
SSD,30.017211936453048,100,1.9999993333335555,1406582
POL,21.95526918527994,100,2.499998750000625,3358356
MEX,22.95431128082384,100,2.499998750000625,2310833
SLE,26.854129925764187,100,1.6666661111112961,1107417
UGA,23.714281802172557,100,1.6666661111112961,6792091
NOR,22.427631521842912,100,1.6666661111112961,691254
VEN,22.804619151467804,100,1.6666661111112961,1382505
IDN,24.10723271396316,100,1.6666661111112961,12893528
PAN,21.526233777099172,100,1.6666661111112961,95621
GTM,23.306767479658347,100,1.6666661111112961,3361207
TZA,23.859486805707775,100,2.499998750000625,3718085
IRL,20.728964734648663,100,2.499998750000625,592196
MKD,22.404898457878005,100,1.6666661111112961,248813
PSE,22.987546855152313,100,2.499998750000625,769926
ZAF,25.54374855867733,100,1.6666661111112961,6001432
SAU,22.75981409816059,100,1.6666661111112961,9485436
NER,28.174778828181072,100,1.9999993333335555,2801781
CHE,22.75197444234567,100,2.499998750000625,1303406
KGZ,28.220674506861148,100,1.9999993333335555,2558610
SVK,22.589292207653315,100,2.499998750000625,1168775
PAK,26.310204146244786,100,1.6666661111112961,4801019
BTN,27.15763436024286,100,1.9999993333335555,62258
GNB,27.64724764752279,100,1.9999993333335555,218068
BGR,22.18770793405256,100,1.6666661111112961,1055022
TUR,29.738012462102418,100,1.9999993333335555,10099259
BGD,23.615005086844977,100,1.6666661111112961,9766368
MWI,22.15046806257243,100,2.499998750000625,1072613
SDN,29.90019551642656,100,1.9999993333335555,1383004
NLD,22.59695615277986,100,1.6666661111112961,1041708
AGO,22.54868794944788,100,2.499998750000625,2327578
CZE,21.197799988333458,100,2.499998750000625,1611446
RWA,22.116449808049765,100,2.499998750000625,3854124
GAB,28.496193919325318,100,1.9999993333335555,154621
MMR,23.067906443559515,100,2.499998750000625,6224991
HTI,23.87212909580241,100,1.6666661111112961,1275208
TCD,25.336526246145823,100,2.499998750000625,2385074
JOR,24.571485794756676,100,1.6666661111112961,2711182
CIV,23.239767119485876,100,2.499998750000625,5534512
KEN,24.19925856969511,100,1.6666661111112961,6668732
SUR,23.107000391985057,100,1.6666661111112961,173476
ARM,27.13618220879124,100,1.6666661111112961,1064537
ALB,22.41123560044185,100,1.6666661111112961,6337
GEO,24.649089475981572,100,1.9999993333335555,318443
SRB,23.966044353399447,100,2.99999850000075,2255295
ARG,22.66139600377422,100,1.6666661111112961,3532383
STP,28.08061304531467,100,1.9999993333335555,16573
MNE,22.586239251139737,100,1.6666661111112961,181182
LBN,29.702617161769194,100,1.9999993333335555,1493832
ROU,22.525042751518594,100,1.6666661111112961,2495233
CAF,29.046760207193536,100,1.9999993333335555,1524758
PRY,21.832328166040554,100,2.499998750000625,1268943
EST,23.406116368019326,100,2.499998750000625,416489
ERI,28.474670255975205,100,1.9999993333335555,632991
COG,28.352926941104545,100,1.9999993333335555,314048
MDA,29.42004199935166,100,1.9999993333335555,1051921
GHA,22.476985367470487,100,1.6666661111112961,3077390
NPL,24.242865507728233,100,1.6666661111112961,11462904
BOL,29.09756177583773,100,1.9999993333335555,2042101
HUN,22.20285856917335,100,2.499998750000625,1530416
PER,22.03564726287353,100,2.499998750000625,3375182
COD,23.64234877108587,100,2.499998750000625,8448963
