date,reform,punitive,reform_velocity,punitive_velocity,cultural_velocity,cultural_velocity_smooth,year,month
2021-09-12,12.666666666666666,9.666666666666666,11.76470588235292,-9.375,21.13970588235292,-2.2778137501947193,2021,9
2021-09-19,17.0,17.0,34.210526315789465,75.86206896551727,-41.6515426497278,-11.303780163153085,2021,9
2021-09-26,16.333333333333332,16.666666666666668,-3.9215686274509887,-1.9607843137254832,-1.9607843137255054,-7.490873693700126,2021,9
2021-10-03,14.666666666666666,13.0,-10.204081632653061,-22.000000000000007,11.795918367346946,-10.605469532035452,2021,10
2021-10-10,14.0,12.0,-4.545454545454541,-7.692307692307687,3.1468531468531458,4.327329066824865,2021,10
2021-10-17,12.333333333333334,12.666666666666666,-11.904761904761896,5.555555555555558,-17.460317460317455,-0.8391819820391184,2021,10
2021-10-24,13.0,11.666666666666666,5.405405405405395,-7.8947368421052655,13.30014224751066,-0.3377740219845471,2021,10
2021-10-31,31.0,10.666666666666666,138.46153846153845,-8.571428571428575,147.03296703296704,47.62426394005342,2021,10
2021-11-07,15.0,11.333333333333334,-51.61290322580645,6.250000000000022,-57.86290322580647,34.156735351557074,2021,11
2021-11-14,12.666666666666666,11.0,-15.555555555555555,-2.941176470588236,-12.61437908496732,25.518561574064417,2021,11
2021-11-21,11.333333333333334,8.333333333333334,-10.526315789473673,-24.24242424242423,13.716108452950559,-18.920391285941076,2021,11
2021-11-28,13.0,10.0,14.705882352941169,19.999999999999996,-5.294117647058828,-1.397462759691863,2021,11
2021-12-05,13.666666666666666,11.0,5.128205128205132,10.000000000000009,-4.871794871794877,1.1833986446989515,2021,12
2021-12-12,13.333333333333334,11.333333333333334,-2.4390243902438935,3.0303030303030276,-5.469327420546922,-5.211746646466875,2021,12
2021-12-19,13.333333333333334,9.333333333333334,0.0,-17.647058823529417,17.647058823529417,2.43531217706254,2021,12
2021-12-26,7.333333333333333,11.0,-45.00000000000001,17.85714285714286,-62.85714285714287,-16.893137151386792,2021,12
